Time,Data_proportion,Algorithm
0.0019985437393188477,90,Sklearn
0.13906462192535402,90,Mine
0.0013431787490844726,80,Sklearn
0.09396882057189941,80,Mine
0.0014436483383178712,70,Sklearn
0.09493765830993653,70,Mine
0.0012363910675048829,60,Sklearn
0.06795175075531006,60,Mine
0.0008517026901245118,50,Sklearn
0.04936573505401611,50,Mine
0.0011449813842773437,40,Sklearn
0.058224821090698244,40,Mine
0.0011370182037353516,30,Sklearn
0.04633016586303711,30,Mine
0.0008948326110839843,20,Sklearn
0.027875208854675294,20,Mine
0.0006892681121826172,10,Sklearn
0.01404123306274414,10,Mine
0.0015871286392211913,100,Sklearn
0.13242847919464112,100,Mine
0.0016430139541625977,90,Sklearn
0.16253604888916015,90,Mine
0.0016852378845214843,80,Sklearn
0.11457853317260742,80,Mine
0.0012910127639770507,70,Sklearn
0.0794708251953125,70,Mine
0.001389932632446289,60,Sklearn
0.08125214576721192,60,Mine
0.0006502866744995117,50,Sklearn
0.03431482315063476,50,Mine
0.0011896133422851563,40,Sklearn
0.05640602111816406,40,Mine
0.001090097427368164,30,Sklearn
0.04424386024475098,30,Mine
0.0009983301162719727,20,Sklearn
0.02877011299133301,20,Mine
0.0005926370620727539,10,Sklearn
0.012804794311523437,10,Mine
0.0017376184463500977,100,Sklearn
0.16353180408477783,100,Mine
0.0013921499252319337,90,Sklearn
0.10525097846984863,90,Mine
0.0013890743255615234,80,Sklearn
0.10222752094268799,80,Mine
0.0013398408889770507,70,Sklearn
0.09389274120330811,70,Mine
0.001691150665283203,60,Sklearn
0.09798054695129395,60,Mine
0.0011195898056030273,50,Sklearn
0.05132856369018555,50,Mine
0.0008009910583496094,40,Sklearn
0.03977854251861572,40,Mine
0.0010993480682373047,30,Sklearn
0.044214916229248044,30,Mine
0.0008471250534057617,20,Sklearn
0.030067753791809083,20,Mine
0.0006893157958984375,10,Sklearn
0.012714028358459473,10,Mine
